country_code,hosts_30d
CN,19450462
US,18254036
DE,5521441
SG,1886255
FR,1645671
JP,1559651
GB,1336074
NL,950507
HK,922061
IN,911262
CA,824027
FI,814382
AU,736244
IE,571477
KR,521041
BR,514052
MY,337903
RU,227781
SE,215322
ID,205666
TR,205054
IT,187281
ES,164857
ZA,140191
AE,124753
TH,118306
MX,107236
CH,98609
PL,77085
BE,76439
PE,74243
CL,66431
TW,65569
SA,51989
AR,50790
CO,43601
AT,41812
IL,36260
PH,34142
NZ,23427
VE,18855
VN,15812
CZ,15286
DK,14600
DO,14474
NO,13045
UA,11959
BG,11246
SC,9832
QA,9806
KZ,7050
IS,6355
EE,6247
RO,5955
EC,4730
AZ,4599
MD,4369
CY,4043
PT,3800
PR,3765
