service,hosts_30d
http,43121682
ssh,13815359
socks4,1664808
http-proxy,1539111
ssl/http,1100657
https,960355
mongodb,484813
grpc,390987
smtp,369755
ftp,357406
redis,316243
telnet,301770
rtsp,260740
plesk,215803
rdp,210512
vnc,181370
imap,180029
proxmox,143863
mysql,142702
printer,112863
zmtp,110994
ncacn_http,110759
voip,107735
jdwp,93390
grafana,76521
zookeeper,68193
router,67889
rsync,64212
eggdrop,63912
X11,63882
irc-proxy,63033
portainer,62936
webmin,52208
dgld,50489
stockfish,48134
java-message-service,47967
nntp,47821
bandwidth-test,47714
crestron-ctp,47616
sassafras,47578
domain,47437
ssl,43537
sdcomm,41578
mud,41321
firewall,41135
websocket,38548
jd-gui,38444
pop3,37865
directupdate,32225
unitrends-backup,32120
lns,32043
msdtc,32043
ident,31997
quagga,31881
ormi,31699
svnserve,31694
H.323/Q.931,31542
kguard,31397
rconj,31334
avk,31295
gitlab,29342
gitea,25017
nextcloud,24530
socks5,24523
prometheus,24503
n8n,22234
docker,20228
camera,20043
cpanel,19967
nagios-nsca,19819
nas,17788
roku,16435
icap,16434
dbsnmp,16087
mysqlx,16070
drda,16052
ldap,16020
athinfod,16015
elm-manager,16010
textui,15987
crossmatchverifier,15928
openlookup,15893
networkaudio,15751
shell,15719
antivir,15647
intermapper,15628
gnatbox,15578
ntp,15558
ms-sql-s,14904
upnp,14520
rabbitmq,13833
influxdb,12782
ipmi,11210
roundcube,9539
smb,8495
sonarqube,7884
libp2p-multistream,7735
kafka,7695
zabbix,7307
exchange,6497
nexus,6048
sip,5357
minecraft-panel,4279
unknown,4271
game-panel,3366
couchdb,3041
amqp,2911
kubernetes,2843
openvpn,2742
owncloud,2592
remoting,2566
home-automation,2531
pptp,2350
softether-rpc,2288
vmware,2041
jellyfin,2006
nginx-proxy-manager,1994
minecraft,1980
mqtt,1732
plex,1637
fw1-topology,1349
irc,1275
gogs,1182
teamcity,934
shoutcast,859
cwp,738
adobe-crossdomain,671
ice,617
cassandra,612
arcserve,606
veeam,602
tandem-print,555
clickhouse,535
jenkins,475
nim,431
kvm,426
postgresql,390
progress,362
tor-info,287
vtun,265
epp,263
vss,230
gcs-clientgw,219
elasticsearch,210
nagios,202
goverlan,196
emby,190
winagents-hyperconf,175
kibana,174
dominoconsole,152
