port,hosts_30d
443,3492130
80,1517581
8080,1232329
3000,598894
8000,503922
22,468941
8081,346028
5000,305172
3001,228736
9000,223413
8083,215441
8090,207863
8001,182718
8888,174978
8006,168189
3389,167197
8088,158011
8082,155742
21,149256
9001,145423
5001,142764
8443,129795
8085,129273
8089,126148
7000,125190
7080,121240
8086,106954
9002,105947
3002,105561
8002,104986
8008,100237
3003,98416
8084,92249
8003,87647
8010,85659
7001,85324
7070,84333
8087,79936
3005,77253
8007,74937
9003,74060
9200,71256
5002,71073
7004,67717
9009,67457
554,66665
3010,65599
5173,65047
3004,63751
8004,61324
8005,59844
8009,57236
5005,56783
7010,55847
5003,55178
7002,54978
7007,54587
9004,53782
9005,53195
7005,52645
9010,52433
7003,51820
9006,50921
7077,50708
5009,50174
7006,50042
7071,49865
5174,49609
5004,49578
9008,48778
7009,48705
9007,48695
5006,47991
3006,46897
9090,45944
6379,45694
3008,45055
5010,44953
3007,43896
7072,43889
7073,43705
3009,42844
5007,42614
5008,42231
5175,42084
5176,41026
7008,40727
7075,39888
7074,39806
7076,39492
5180,39293
7078,39267
7079,39049
5177,38795
5179,38793
5178,38751
2181,38645
3128,36988
10000,36960
23,35169
